Name	Description_su	SRR6825935	SRR6825934	SRR6825939	SRR6825938	SRR6825941	SRR6825940	SRR6825933	SRR6825932	SRR6825926	SRR6825925	SRR6825930	SRR6825928
BLMH	na	9.85883393471036	10.1229702258651	9.94380501353893	10.5555630628429	9.30114797982332	9.41490479727892	9.57128030117433	9.59698198251084	9.9317932034571	9.0937845463004	9.44212194019851	10.7498147567629
XXYLT1	na	11.3247932273885	12.2477400770649	11.6211393421392	13.4790161764006	11.6325329722931	12.017194827585	12.1671630109615	11.5602625977339	12.1143527270457	12.5978830729953	11.6169148781447	11.5915128498035
LOC121920026	na	4.62971973314709	0	0	0	0	0	0	0	3.82180580619749	0	0	0
LOC121920024	na	1.63768670289026	0	0	0	0	0	0	0	2.69496717240513	0	0	0
LOC121920021	na	2.87479592378924	3.16591473499993	0	0	2.45914626931465	0	0	3.1600135786771	0	0	1.93204651264254	0
LOC121935223	na	8.55996693000026	8.73494133744452	7.96246191914262	9.00991753539331	8.34394821322878	7.87895649488693	8.25219401947088	8.08766977021447	8.37379426288386	8.97202698113441	8.18509349760996	8.70169902255986
ACAD9	na	10.694881162795	12.182407587051	11.0505005310705	12.0774620112192	10.3629649612267	11.0349658440767	11.0554874927076	10.9387814117629	11.5243776274635	11.3571611056716	10.701508412373	10.4884673427835
ACAD8	na	12.4112418554099	11.3614836695704	11.3654631275626	10.9288408565261	11.9298342382979	11.9531778915985	11.8274437614518	12.1954691629218	12.0502371795548	11.8518968822112	11.7224723511498	11.7396463472478
ACADM	na	11.5601536687147	14.149562336698	13.6757390630867	12.3983415086956	11.638143821745	12.6776754369427	12.9243833238884	12.933845856505	12.7408849843161	13.3089338009423	12.2070327036616	12.5957503742966
LOC121929549	na	11.1131435110678	11.5951230655843	10.6496459066877	13.0212919695908	11.0188946167158	11.6851204591552	10.9779963692751	11.0417092412878	11.1977372708311	11.8803794146165	10.5160557226296	10.7199440840953
LOC121929540	na	4.90859160625741	7.64656184111819	9.43518976698046	6.26239965159305	9.55304100100209	9.18706014508325	9.04567875145827	8.52526100512718	6.77363678863058	5.7954266169377	5.61091678263404	7.96004927274491
LOC121929547	na	0	0	0	0	0	0	0	2.46890071334015	0	0	0	0
LOC121925216	na	1.36946574404049	0	0	0	0	0	0	0	0	0	0	2.0088059304641
LOC121925217	na	10.5176374287997	10.392309832727	8.98774449380538	10.4381771099094	9.81863315765615	8.17933638013862	9.334448632584	10.157168531105	10.7177920782624	10.5719355899333	8.21274406661639	9.62642428041357
LOC121925212	na	2.97506351123937	0	0	0	3.74114429747739	0	0	5.03357827252726	0	0	4.95591347998934	0
LOC121921771	na	13.0464081270549	10.3550210608079	9.81290542690762	13.9577164671116	11.1185924616141	14.9982042585248	8.29283177639432	13.8753995450097	14.3812516937896	13.6237751540101	10.419493760684	12.895707465005
LOC121921770	na	12.6835008968035	9.76400802733792	10.6066845617726	6.65125031583559	10.089763971725	8.87588885802813	10.9372759244152	11.189835759976	11.3133741898167	8.61329745927284	10.6246830153536	11.8295092224306
ACADS	na	10.0200845825738	11.7200881172499	11.2239819582858	11.3352990199518	10.7095968205288	11.0193303621452	11.274216968634	10.9520561976764	11.1132524212032	11.7555497716539	10.0107264319223	11.2284702864851
LOC121921777	na	0	0	0	0	0	0	0	0	0	0	1.5247194035928	0
LOC121920794	na	0	0	0	0	0	2.84164326811356	0	0	0	0	0	0
LOC121920790	na	0	0	0	1.70561441737461	0	0	0	0	0	0	0	2.81741446630924
LOC121920792	na	6.18579929629902	4.33199476866004	6.38337611298192	3.62157022916455	6.41539708595932	5.12622889056318	5.88435691883408	5.13017448582526	4.76987083436681	5.83321701591105	6.56780969606925	5.14067854965942
NR4A2	na	9.26930959926761	4.96832424225744	10.926427285882	7.02143145538259	12.8536430290149	13.5056151254598	11.411257452018	11.0261029530376	7.3970066750512	6.43451824329823	10.3834511741497	11.5820555962081
ERMP1	na	7.75748881838746	7.65800033628763	8.70505417867783	8.86698737021024	8.26702429535723	7.90394180378069	7.48447440367351	7.35023014727505	7.11873179163771	7.03027132650853	8.44030123991137	7.79303595013637
LOC121931830	na	7.91093628320214	7.59987878929326	7.91041901363303	7.61937748292297	6.33727744699098	6.72604284294995	6.68120650198569	6.70319701297464	7.82391544890858	7.04644912200035	7.12846615722777	6.97742016396708
LOC121931836	na	4.16134912652802	4.89287974081558	0	0	4.48348259851012	3.20546776833998	3.86291723894639	0	4.02954945253627	5.90595180707375	4.81869508503699	4.09850485034218
LOC121931835	na	7.77498072994267	7.74101499089915	8.15863927619746	5.34267446075986	8.14048223864365	6.34320688552878	8.66719347013857	7.69625755981558	7.51398777752612	6.59710765294285	8.61969641659058	8.13062838791371
HLCS	na	12.3929491798368	9.5131632192843	9.76486550947378	9.12834108392181	10.4981267469071	9.86324844690156	9.45274590949019	10.3773318301248	10.4718999204253	9.35637881540521	10.7659192688265	10.1563772598082
LOC121931839	na	5.53607762987309	6.01792500610515	5.75551533997681	4.75538426007332	5.59211549852651	4.49756530045227	5.12409001202777	5.30589217352631	5.82906260852365	6.98062013345639	4.43632059719834	5.81887564028435
AJM1	na	3.82760622445928	4.81327117651241	5.95137422648648	5.49514264386494	6.16707423088527	6.65423264927967	5.99795418677335	6.10942884144861	6.33879341467991	5.90595180707375	5.71770262661429	5.91842522266612
NPPC	na	0	0	0	0	0	2.03004660502464	0	0	0	0	0	0
LOC121926741	na	0	2.88362353657588	0	3.62157022916455	2.45914626931465	0	0	0	0	0	0	0
